RCA;Asphalt;Additive;TR;HD;WC;OD;GW;SM;AC;EU;CA;NCA;RE;EC;FFD
0;4;0.45;40;0;3;3847;18294;747;115;9930;134;949;8806;28644;34587
0;4;0.45;40;0;4;4486;21326;870;134;11567;156;1101;10265;33285;40276
0;4;0.45;40;50;1;2569;12230;503;77;6657;91;643;5888;19364;23208
0;4;0.45;40;50;2;3208;15262;625;96;8293;112;796;7347;24004;28898
0;4;0.45;40;50;3;3847;18294;747;115;9930;134;949;8806;28644;34587
0;4;0.45;40;50;4;4486;21326;870;134;11567;156;1101;10265;33285;40276
0;4;0.45;40;100;1;2569;12230;503;77;6657;91;643;5888;19364;23208
0;4;0.45;40;100;2;3208;15262;625;96;8293;112;796;7347;24004;28898
0;4;0.45;40;100;3;3847;18294;747;115;9930;134;949;8806;28644;34587
0;4;0.45;40;100;4;4486;21326;870;134;11567;156;1101;10265;33285;40276
0;4;0.45;40;150;1;2569;12230;503;77;6657;91;643;5888;19364;23208
0;4;0.45;40;150;2;3208;15262;625;96;8293;112;796;7347;24004;28898
0;4;0.45;40;150;3;3847;18294;747;115;9930;134;949;8806;28644;34587
0;4;0.45;40;150;4;4486;21326;870;134;11567;156;1101;10265;33285;40276
0;4.5;0.15;10;0;1;3209;15269;626;96;8295;113;798;7350;24059;28943
0;4.5;0.15;10;0;2;3858;18348;750;116;9958;135;954;8832;28772;34722
0;4.5;0.15;10;0;3;4507;21428;874;135;11620;157;1109;10313;33486;40500
0;4.5;0.15;10;0;4;5156;24508;998;154;13283;179;1264;11795;38199;46279
0;4.5;0.15;10;50;1;3209;15269;626;96;8295;113;798;7350;24059;28943
0;4.5;0.15;10;50;2;3858;18348;750;116;9958;135;954;8832;28772;34722
0;4.5;0.15;10;50;3;4507;21428;874;135;11620;157;1109;10313;33486;40500
0;4.5;0.15;10;50;4;5156;24508;998;154;13283;179;1264;11795;38199;46279
0;4.5;0.15;10;100;1;3209;15269;626;96;8295;113;798;7350;24059;28943
0;4.5;0.15;10;100;2;3858;18348;750;116;9958;135;954;8832;28772;34722
0;4.5;0.15;10;100;3;4507;21428;874;135;11620;157;1109;10313;33486;40500
0;4.5;0.15;10;100;4;5156;24508;998;154;13283;179;1264;11795;38199;46279
0;4.5;0.15;10;150;1;3209;15269;626;96;8295;113;798;7350;24059;28943
0;4.5;0.15;10;150;2;3858;18348;750;116;9958;135;954;8832;28772;34722
0;4.5;0.15;10;150;3;4507;21428;874;135;11620;157;1109;10313;33486;40500
0;4.5;0.15;10;150;4;5156;24508;998;154;13283;179;1264;11795;38199;46279
0;4.5;0.15;20;0;1;3000;14277;586;90;7760;106;749;6873;22542;27083
0;4.5;0.15;20;0;2;3645;17336;709;109;9411;128;903;8344;27223;32822
0;4.5;0.15;20;0;3;4289;20394;832;128;11062;149;1057;9816;31904;38561
0;4.5;0.15;20;0;4;4933;23453;956;148;12713;171;1211;11288;36585;44300
0;4.5;0.15;20;50;1;3000;14277;586;90;7760;106;749;6873;22542;27083
0;4.5;0.15;20;50;2;3645;17336;709;109;9411;128;903;8344;27223;32822
0;4.5;0.15;20;50;3;4289;20394;832;128;11062;149;1057;9816;31904;38561
0;4.5;0.15;20;50;4;4933;23453;956;148;12713;171;1211;11288;36585;44300
0;4.5;0.15;20;100;1;3000;14277;586;90;7760;106;749;6873;22542;27083
0;4.5;0.15;20;100;2;3645;17336;709;109;9411;128;903;8344;27223;32822
0;4.5;0.15;20;100;3;4289;20394;832;128;11062;149;1057;9816;31904;38561
0;4.5;0.15;20;100;4;4933;23453;956;148;12713;171;1211;11288;36585;44300
0;4.5;0.15;20;150;1;3000;14277;586;90;7760;106;749;6873;22542;27083
0;4.5;0.15;20;150;2;3645;17336;709;109;9411;128;903;8344;27223;32822
0;4.5;0.15;20;150;3;4289;20394;832;128;11062;149;1057;9816;31904;38561
0;4.5;0.15;20;150;4;4933;23453;956;148;12713;171;1211;11288;36585;44300
0;4.5;0.15;30;0;1;2791;13286;546;84;7225;99;699;6396;21025;25223
0;4.5;0.15;30;0;2;3431;16323;668;103;8865;120;852;7857;25673;30922
0;4.5;0.15;30;0;3;4071;19361;791;122;10504;142;1005;9319;30322;36621
0;4.5;0.15;30;0;4;4711;22398;913;141;12144;164;1158;10780;34970;42321
0;4.5;0.15;30;50;1;2791;13286;546;84;7225;99;699;6396;21025;25223
0;4.5;0.15;30;50;2;3431;16323;668;103;8865;120;852;7857;25673;30922
